Index Name,Date,Open,High,Low,Close,MA20,MA50,MA200
NIFTY 200,11 Aug 2025,13559.1,13691.75,13540.95,13682.25,13879.46,,
NIFTY 200,08 Aug 2025,13695.15,13703.9,13541.4,13555.15,13897.19,,
NIFTY 200,07 Aug 2025,13623.95,13728.35,13545.25,13706.85,13921.26,,
NIFTY 200,06 Aug 2025,13755.1,13762.05,13662,13686.15,13943.56,,
NIFTY 200,05 Aug 2025,13794.45,13795.9,13711.15,13750.75,13969.81,,
NIFTY 200,04 Aug 2025,13692.35,13799.1,13667.8,13792.60,13993.94,,
NIFTY 200,01 Aug 2025,13802.65,13813.3,13661.65,13678.50,14015.01,,
NIFTY 200,31 Jul 2025,13744.55,13909.25,13743.05,13814.00,14041.94,,
NIFTY 200,30 Jul 2025,13900.2,13900.55,13830.65,13879.35,14060.67,,
NIFTY 200,29 Jul 2025,13740.7,13877.65,13737.65,13866.45,14077.57,,
NIFTY 200,28 Jul 2025,13838.25,13915.2,13756.3,13775.75,14097.27,,
NIFTY 200,25 Jul 2025,13993.65,13993.65,13849.05,13866.75,,,
NIFTY 200,24 Jul 2025,14111.9,14112.9,13994.55,14023.00,,,
NIFTY 200,23 Jul 2025,14067.65,14107.5,14021.45,14102.30,,,
NIFTY 200,22 Jul 2025,14106.2,14110.6,14020.75,14029.75,,,
NIFTY 200,21 Jul 2025,14006.9,14074.1,13944.8,14063.40,,,
NIFTY 200,18 Jul 2025,14082.85,14096.1,13972.75,13993.45,,,
NIFTY 200,17 Jul 2025,14144,14147.15,14073.8,14079.55,,,
NIFTY 200,16 Jul 2025,14120.75,14146.1,14083.95,14126.95,,,
NIFTY 200,15 Jul 2025,14049,14130.55,14043.3,14116.20,,,
NIFTY 200,14 Jul 2025,14041.3,14055.7,13988.1,14036.80,,,
NIFTY 200,11 Jul 2025,14111.85,14143.7,14021.7,14036.60,,,
NIFTY 200,10 Jul 2025,14232.5,14238.85,14141.3,14152.90,,,
NIFTY 200,09 Jul 2025,14233.75,14250.05,14183.2,14211.15,,,
NIFTY 200,08 Jul 2025,14204.85,14245.05,14174.55,14233.25,,,
NIFTY 200,07 Jul 2025,14216.95,14236.65,14187.1,14214.05,,,
NIFTY 200,04 Jul 2025,14207.3,14221.35,14146.25,14217.15,,,
NIFTY 200,03 Jul 2025,14244.65,14275.35,14178.35,14188.60,,,
NIFTY 200,02 Jul 2025,14281.7,14293.25,14168.85,14217.35,,,
NIFTY 200,01 Jul 2025,14276.15,14289.35,14226.5,14260.50,,,
